# TYPE: validation-run
# R005 — Jump regime (discontinuity state): synthetic input tape, seed 9005 [example]
bar,event_ts,asof_ts,r
1,1788220800000000000,1788220801000000000,0.0012
2,1788221100000000000,1788221101000000000,-0.0008
3,1788221400000000000,1788221401000000000,0.0009
4,1788221700000000000,1788221701000000000,-0.0011
5,1788222000000000000,1788222001000000000,0.001
6,1788222300000000000,1788222301000000000,-0.0007
7,1788222600000000000,1788222601000000000,0.0013
8,1788222900000000000,1788222901000000000,-0.0009
9,1788223200000000000,1788223201000000000,0.0008
10,1788223500000000000,1788223501000000000,-0.0012
11,1788223800000000000,1788223801000000000,0.045
12,1788224100000000000,1788224101000000000,0.0011
13,1788224400000000000,1788224401000000000,-0.0006
14,1788224700000000000,1788224701000000000,0.0009
15,1788225000000000000,1788225001000000000,-0.001
16,1788225300000000000,1788225301000000000,0.0007
17,1788225600000000000,1788225601000000000,-0.0008
18,1788225900000000000,1788225901000000000,0.0012
19,1788226200000000000,1788226201000000000,-0.0005
20,1788226500000000000,1788226501000000000,0.0006
