# TYPE: validation-run
# R015 — Tick-constraint regime: synthetic input tape, seed 9015 [example]
bar,event_ts,asof_ts,bid,ask,tick,trade_px
1,1788220800000000000,1788220860000000000,99.995,100.005,0.01,100.0
2,1788220800000000060,1788220860000000060,99.995,100.005,0.01,100.0
3,1788220800000000120,1788220860000000120,99.99,100.01,0.01,100.0
4,1788220800000000180,1788220860000000180,99.995,100.005,0.01,100.0
5,1788220800000000240,1788220860000000240,99.995,100.005,0.01,100.0
6,1788220800000000300,1788220860000000300,99.995,100.005,0.01,100.0
7,1788220800000000360,1788220860000000360,99.985,100.015,0.01,100.0
8,1788220800000000420,1788220860000000420,99.995,100.005,0.01,100.0
9,1788220800000000480,1788220860000000480,99.995,100.005,0.01,100.0
10,1788220800000000540,1788220860000000540,99.99,100.01,0.01,100.005
