# TYPE: validation-run
# Synthetic 10-day social tape (chapter S4, seed 97): post counts, weighted sentiment, HHI concentration; volume z uses trailing 5-day window
day,event_ts,posts,raw_sent,w_sent,hhi
1,1788297600000000000,123,0.050,0.040,0.021
2,1788384000000000000,143,-0.020,-0.020,0.023
3,1788470400000000000,117,0.080,0.070,0.022
4,1788556800000000000,138,0.030,0.020,0.020
5,1788643200000000000,132,-0.050,-0.040,0.024
6,1788729600000000000,410,0.250,0.120,0.090
7,1788816000000000000,980,0.450,0.0637,0.3168
8,1788902400000000000,720,0.180,0.100,0.180
9,1788988800000000000,392,-0.100,-0.060,0.075
10,1789075200000000000,181,-0.020,-0.020,0.030
